Company,Country,Website
Dzduino,Algeria,www.dzduino.com
Core Electronics,Australia,www.core-electronics.com.au
Little Bird Electronics,Australia,raspberry.piaustralia.com.au
Semaf Electronics,Austria,electronics.semaf.at
MC Hobby,Belgium,shop.mchobby.be
Maker Hero,Brazil,www.makerhero.com
RoboCore Tecnologia,Brazil,www.robocore.net
CanaKit Corporation,Canada,www.canakit.com
PiShop.ca,Canada,www.pishop.ca
MCI Electronics,Chile,www.mcielectronics.cl
Beijing Aiweiding Information Technology,China,www.bjivision.com
Classroom Steam,China,www.classroomeshop.com
Junroc,China,junpengsm.world.tmall.com
Seeed Studio,China,www.seeed.cc
Thingbits,China,www.thingbits.net
Sigma Electrónica,Colombia,www.sigmaelectronica.net
RPishop.cz,Czech Republic,www.rpishop.cz
Jkollerup.dk,Denmark,www.raspberrypi.dk
Kubii,France,www.kubii.com
Yadom,France,www.yadom.eu
pi3g,Germany,www.buyzero.de Tel: +49 (0)341 392 858 42
pi3g,Austria,www.buyzero.de Tel: +49 (0)341 392 858 42
pi3g,Switzerland,www.buyzero.de Tel: +49 (0)341 392 858 42
Astradis Elektronik,Germany,www.asdstore.de
CJ-Elektronik,Germany,shop.funk24.net
Ineltek,Germany,www.ineltek.com
Mouser Electronics,Germany,www.mouser.com
reichelt elektronik,Germany,www.reichelt.com
Sertronics,Germany,www.berrybase.de
S&H Werner,Germany,www.rasppishop.de
Welectron,Germany,www.welectron.com
DaakyeTech,Ghana,www.daakyetech.com
Jumia,Ghana,www.jumia.com.gh
TechTen Planet,Ghana,www.techtenplanet.org
Nettop,Greece,www.nettop.gr
Málna PC,Hungary,www.malnapc.hu
rPI Bolt,Hungary,www.rpibolt.hu
Robocraze,India,www.robocraze.com
Robu.in,India,www.robu.in
Silverline Electronics,India,www.silverlineelectronics.in
Piitel,Israel,www.piitel.co.il
Melopero,Italy,www.melopero.com
Baks,Japan,www.icbroker-japan.com
KSY,Japan,raspberry-pi.ksyic.com
Switch Science,Japan,www.switch-science.com
Ivyliam Gadgets,Kenya,shop.ivyliam.com
Electronic-Shop,Luxembourg,www.electronic-shop.lu
Autobotic,Malaysia,www.autobotic.com.my
Cytron,Malaysia,www.cytron.io
330ohms,Mexico,www.330ohms.com
AG Electrónica,Mexico,www.agelectronica.com
Geek Factory,Mexico,www.geekfactory.mx
Robox,Morocco,www.robox.ma
PB Tech,New Zealand,www.pbtech.co.nz
STEMCafe,Nigeria,shop.stemcafe.io
Swift Berry,Nigeria,www.swiftberry.ng
Generación Tec,Peru,www.thepibox.pe
Argon Forty,Philippines,www.argon40.com
Botland,Poland,www.botland.store
Kamami,Poland,www.kamami.pl
Robert Mauser,Portugal,www.mauser.pt
Optimus Digital,Romania,www.optimusdigital.ro
Nyereka Tech,Rwanda,www.nyerekatech.com
Geeks Valley,Saudi Arabia,www.geeksvalley.com
Galago,Slovenia,www.galagomarket.com
PiShop,South Africa,www.pishop.co.za
Eleparts,South Korea,www.eleparts.co.kr
Leocom,South Korea,www.leocom.kr
Ntrex,South Korea,www.devicemart.co.kr
AP Tecnología,Spain,www.raspipc.es
tiendatec,Spain,www.tiendatec.es
Elektrokit,Sweden,www.electrokit.com
EducaWeb.ch,Switzerland,www.educaweb.ch
Totonic,Switzerland,www.pi-shop.ch
Ricelee,Taiwan,www.ricelee.com
Elektor,The Netherlands,www.elektor.com
Elektronica Voor Jou,The Netherlands,www.elektronicavoorjou.nl
Kiwi Electronics,The Netherlands,www.kiwi-electronics.com
Raspberry Store,The Netherlands,www.raspberrystore.nl
SAMM Teknoloji,Turkey,www.samm.com
BCD-Atlantik,UK,www.bcdatlantik.shop
Cool Components,UK,www.coolcomponents.co.uk
CPC,UK,www.cpc.farnell.com
element14,UK,community.element14.com
Farnell,UK,www.farnell.com
Kitronik,UK,www.kitronik.co.uk
Pimoroni,UK,shop.pimoroni.com
Rapid,UK,www.rapidonline.com
Raspberry Pi Direct,UK,direct.raspberrypi.com
The Pi Hut,UK,www.thepihut.com
Adafruit,USA,www.adafruit.com
Central Computers,USA,www.centralcomputer.com
Chicago Electronic Distributors,USA,www.chicagodist.com
DigiKey,USA,www.digikey.com
Maker Bright,USA,www.makerbright.com
Micro Electronics,USA,www.microcenter.com
Newark Electronics,USA,www.newark.com
PiShop.us,USA,www.pishop.us
SparkFun,USA,www.sparkfun.com
Vilros,USA,www.vilros.com
